parameter,mean_effect,sensitivity_index,elasticity
alpha,0.00833178327938309,0.011170902933993027,0.0030419219924847016
beta,0.008402513272355486,0.058532445812449874,0.02228260925966306
gamma,0.008236384263665462,0.10812147510852771,0.0113394167813214
H0,0.00840688160687126,0.0007790487096290018,0.00022719442711240448
v0,0.008497065974694266,0.006685427492711299,0.0026448232911284253
