time,mean,std,cv,ci_lower,ci_upper
0.0,3.3678407930382794e-06,1.3558862428078683e-06,0.4025980817177118,3.2510366989846985e-06,3.488586549573162e-06
0.1,6.832818395809643e-06,1.9401980939077244e-06,0.2839528261277349,6.67120718712433e-06,6.996141875943758e-06
0.2,1.015433828113741e-05,2.3299718342603354e-06,0.22945580201798732,9.949300583663031e-06,1.0351493280639086e-05
0.30000000000000004,1.372819848044003e-05,2.7362075867356955e-06,0.19931293903087507,1.3482029269476146e-05,1.3952556223723094e-05
0.4,1.727674897611395e-05,3.0887064000944765e-06,0.17877821830743632,1.6981825894368397e-05,1.7549939194953292e-05
0.5,2.0899586526902893e-05,3.4299762071299263e-06,0.16411694091242934,2.0579427337355773e-05,2.1208527565256378e-05
0.6000000000000001,2.4511530510616302e-05,3.7759231384485493e-06,0.15404681224671554,2.4142628981489915e-05,2.4837535261989086e-05
0.7000000000000001,2.8324131509146307e-05,4.171342704265532e-06,0.14727168961627438,2.7913122673658732e-05,2.8682577556626684e-05
0.8,3.220504175425056e-05,4.598588507512067e-06,0.14279095001965417,3.1781926387899625e-05,3.262403855388268e-05
0.9,3.6024994191278415e-05,4.862475985869428e-06,0.13497506647888993,3.557025742099051e-05,3.6452241495679664e-05
1.0,3.988195719880604e-05,5.037012442351535e-06,0.12629802537630552,3.939389857857507e-05,4.031612368118763e-05
1.1,4.373260703979187e-05,5.317037180377472e-06,0.1215806131918811,4.320577406817654e-05,4.420377622392215e-05
1.2000000000000002,4.766259181013107e-05,5.628149953219499e-06,0.1180831704587074,4.7142210812732326e-05,4.815859285195579e-05
1.3,5.165349363631114e-05,5.846089213004696e-06,0.11317897012284643,5.114518318978501e-05,5.2162079120468715e-05
1.4000000000000001,5.5691901587927416e-05,6.095528829419298e-06,0.10945090139893254,5.513799434962207e-05,5.6225902540312544e-05
1.5,5.979850352746544e-05,6.3129545548182665e-06,0.1055704437807332,5.924129925191471e-05,6.034662841956176e-05
1.6,6.403298746727922e-05,6.399380656861042e-06,0.09993881138422782,6.348317397673707e-05,6.461517030328118e-05
1.7000000000000002,6.822032884774784e-05,6.652915010337876e-06,0.0975210047020685,6.76439521384552e-05,6.881820712939597e-05
1.8,7.23599391202922e-05,6.914442793684017e-06,0.09555622735101185,7.17595283926027e-05,7.296989511200588e-05
1.9000000000000001,7.659197772103591e-05,7.185365028405026e-06,0.0938135460423236,7.596863693077731e-05,7.723589117813277e-05
2.0,8.086496187122681e-05,7.32015344694182e-06,0.09052317935422734,8.025131174375515e-05,8.151455869965871e-05
2.1,8.542441142640441e-05,7.766806472040223e-06,0.09092022224503765,8.476865176864357e-05,8.610031080860375e-05
2.2,8.970242941734272e-05,8.005624367453737e-06,0.08924646098722004,8.901250434226544e-05,9.039290888579926e-05
2.3000000000000003,9.414758540563615e-05,8.40158027222005e-06,0.08923840410799413,9.342781492521838e-05,9.489110976331237e-05
2.4000000000000004,9.878002364083412e-05,8.607196511608268e-06,0.0871349914118687,9.805502987177828e-05,9.954894436191103e-05
2.5,0.00010345700008109315,8.796923124993333e-06,0.08502975263247535,0.00010268976708095906,0.00010420096925212435
2.6,0.00010787753235813579,8.932337726435583e-06,0.08280072347948858,0.00010709717365108407,0.0001086427423797591
2.7,0.00011248307185306308,9.091591982256368e-06,0.08082631308409445,0.00011167857225957691,0.00011324780680508407
2.8000000000000003,0.00011722572966122012,9.086085243967134e-06,0.07750930849588847,0.00011648165924832886,0.00011805474512053277
2.9000000000000004,0.00012197707039471298,9.391050794443798e-06,0.07699029632417576,0.00012116635368848506,0.00012282896036496953
3.0,0.00012676496798653904,9.67763446358739e-06,0.07634313026146973,0.00012594317620156926,0.00012764288569941926
3.1,0.00013148781642143448,9.907995130813858e-06,0.07535295208688784,0.00013064921738844138,0.00013236344515875646
3.2,0.00013641793516111234,1.0262373718976446e-05,0.07522745236435645,0.00013556038324924593,0.00013735576250325585
3.3000000000000003,0.0001413890475444862,1.0383989890327241e-05,0.07344267516237461,0.00014053844237977463,0.00014232366728738992
3.4000000000000004,0.00014628413526285143,1.0587165881818885e-05,0.07237398548239889,0.00014539960182956654,0.00014719269204112624
3.5,0.00015102275688871184,1.091031154752646e-05,0.07224283129440044,0.000150115837757828,0.0001519983622031772
3.6,0.0001559324906383911,1.1176539840019796e-05,0.0716755038944276,0.00015498286286415514,0.00015691510369137418
3.7,0.00016102120110610973,1.1311481501887238e-05,0.07024839849774316,0.00016010353126638574,0.00016202258395448451
3.8000000000000003,0.000166098795554305,1.1447131194861592e-05,0.06891760507148904,0.00016515469257035042,0.00016709423097811075
3.9000000000000004,0.0001711577233158849,1.1620419010488555e-05,0.0678930449959431,0.00017019570652082564,0.00017216718969210475
4.0,0.0001764368622641205,1.1663304795724235e-05,0.06610469403080083,0.00017546308335224188,0.00017743679626135362
4.1000000000000005,0.00018160046271842566,1.1917662490889793e-05,0.06562572755868092,0.0001805807792286498,0.00018261918225121425
4.2,0.00018683081709167606,1.2094004825145625e-05,0.0647323873727492,0.00018582074441011046,0.00018785662960231955
4.3,0.00019190885381207168,1.2189796144905952e-05,0.06351867515629533,0.00019087379879100875,0.00019297742799193214
4.4,0.00019710579201459957,1.2562844520881442e-05,0.06373655686358987,0.00019605149363726576,0.00019819864873553628
4.5,0.0002021905102195062,1.2771879152594495e-05,0.0631675499444995,0.0002010939012085451,0.00020335453145040524
4.6000000000000005,0.00020727721544545245,1.2776006542750871e-05,0.061637293396162175,0.00020622875154105994,0.00020844931988904576
